pair_id,team_a_code,team_a_name,team_b_code,team_b_name,pool_key,event_date,Event,source_file,source_row_number,winner_code,winner_name,point_margin_team_a,set_margin_team_a,meeting_number
B13SJJVB1NE__B14117752XX,B13SJJVB1NE,SMASH Boys 13-1,B14117752XX,ValleyVBC Elite Boys,MIXED,2026-02-01,AAUGrandPrixOne2026,GrandPrix1_Boys - Sheet1.csv,2,B14117752XX,ValleyVBC Elite Boys,-16.0,-1.0,1
B13SJJVB1NE__B14117752XX,B13SJJVB1NE,SMASH Boys 13-1,B14117752XX,ValleyVBC Elite Boys,MIXED,2026-03-14,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,9,B14117752XX,ValleyVBC Elite Boys,-1.0,-1.0,2
B13SJJVB1NE__B14CAPIT1XL,B13SJJVB1NE,SMASH Boys 13-1,B14CAPIT1XL,CSVC 14 CASCADE,MIXED,2025-12-20,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,4,B13SJJVB1NE,SMASH Boys 13-1,16.0,2.0,1
B13SJJVB1NE__B14CAPIT1XL,B13SJJVB1NE,SMASH Boys 13-1,B14CAPIT1XL,CSVC 14 CASCADE,MIXED,2026-03-15,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,153,B13SJJVB1NE,SMASH Boys 13-1,11.0,1.0,2
B13SJJVB1NE__B14CAPIT2XL,B13SJJVB1NE,SMASH Boys 13-1,B14CAPIT2XL,CSVC 14 SAWTEETH,MIXED,2025-12-20,AAUUpstateCup2026,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,5,B13SJJVB1NE,SMASH Boys 13-1,24.0,2.0,1
B13SJJVB1NE__B14HKJVB1NE,B13SJJVB1NE,SMASH Boys 13-1,B14HKJVB1NE,Husky 14.1,MIXED,2026-01-31,AAUGrandPrixOne2026,GrandPrix1_Boys - Sheet1.csv,4,B13SJJVB1NE,SMASH Boys 13-1,12.0,2.0,1
B13SJJVB1NE__B14NEVBC1NE,B13SJJVB1NE,SMASH Boys 13-1,B14NEVBC1NE,NEVBC Boys 14.1,MIXED,2026-03-15,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,148,B14NEVBC1NE,NEVBC Boys 14.1,-18.0,-2.0,1
B13SJJVB1NE__B14RRJVB1NE,B13SJJVB1NE,SMASH Boys 13-1,B14RRJVB1NE,Boston United Boys 14-1,MIXED,2026-02-01,AAUGrandPrixOne2026,GrandPrix1_Boys - Sheet1.csv,16,B14RRJVB1NE,Boston United Boys 14-1,-11.0,-2.0,1
B13SJJVB1NE__B14RRJVB2NE,B13SJJVB1NE,SMASH Boys 13-1,B14RRJVB2NE,Boston United Boys 13 Select 1,MIXED,2026-01-31,AAUGrandPrixOne2026,GrandPrix1_Boys - Sheet1.csv,1,B13SJJVB1NE,SMASH Boys 13-1,18.0,2.0,1
B13SJJVB1NE__B14RRJVB2NE,B13SJJVB1NE,SMASH Boys 13-1,B14RRJVB2NE,Boston United Boys 13 Select 1,MIXED,2026-03-14,AAUBoysReg2026,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,13,B13SJJVB1NE,SMASH Boys 13-1,13.0,2.0,2
