pair_id,team_a_code,team_a_name,team_b_code,team_b_name,pool_key,meetings_count,first_meeting_date,latest_meeting_date,first_winner_code,latest_winner_code,first_point_margin_team_a,latest_point_margin_team_a,margin_shift_team_a,winner_changed
B16BVJVB1NE__B16TTVBC1NE,B16BVJVB1NE,Blast 16 Inferno,B16TTVBC1NE,SLAM 16 1 Boys,B16,6,2025-11-22,2026-03-15,B16BVJVB1NE,B16TTVBC1NE,5.0,-1.0,-6.0,True
B15CAPIT1XL__B15LEGIO1XL,B15CAPIT1XL,CSVC 15 PANTHERS,B15LEGIO1XL,TeamLVC Boys 15 Black,B15,5,2025-12-20,2026-03-14,B15CAPIT1XL,B15LEGIO1XL,8.0,-18.0,-26.0,True
B15NEVBC1NE__B15SJJVB1NE,B15NEVBC1NE,NEVBC Boys 15.1,B15SJJVB1NE,SMASH Boys 15-1,B15,4,2025-12-20,2026-02-01,B15SJJVB1NE,B15NEVBC1NE,-14.0,11.0,25.0,True
B14MVPVA1NE__B14RRJVB1NE,B14MVPVA1NE,MVP BOS 14 Black,B14RRJVB1NE,Boston United Boys 14-1,B14,4,2025-11-22,2026-01-31,B14RRJVB1NE,B14MVPVA1NE,-15.0,2.0,17.0,True
B17NESVC2NE__B17RRJVB2NE,B17NESVC2NE,NE Storm 17 Landslide,B17RRJVB2NE,Boston United Boys 17 Northeast,B17,4,2025-11-22,2026-01-19,B17RRJVB2NE,B17NESVC2NE,-7.0,6.0,13.0,True
B13SJJVB1NE__B14SAVBC1XL,B13SJJVB1NE,SMASH Boys 13-1,B14SAVBC1XL,Sporting Albany Boys 14u,MIXED,4,2025-12-20,2026-03-14,B13SJJVB1NE,B14SAVBC1XL,15.0,-21.0,-36.0,True
B16BVJVB2NE__B16PVJVB2NE,B16BVJVB2NE,Blast 16 Pyro,B16PVJVB2NE,PV Boys 16 2,B16,3,2026-01-19,2026-03-15,B16PVJVB2NE,B16BVJVB2NE,-8.0,5.0,13.0,True
B18NESVC1NE__B18RRJVB1NE,B18NESVC1NE,NE Storm 18 Thunder,B18RRJVB1NE,Boston United Boys 18 1,B18,3,2026-01-17,2026-03-15,B18NESVC1NE,B18RRJVB1NE,1.0,4.0,3.0,True
B15RRJVB1NE__B15SJJVB1NE,B15RRJVB1NE,Boston United Boys 15 National,B15SJJVB1NE,SMASH Boys 15-1,B15,3,2025-12-20,2026-03-15,B15SJJVB1NE,B15RRJVB1NE,6.0,6.0,0.0,True
B18NESVC3NE__B18NEVBC3NE,B18NESVC3NE,NE Storm 18 Tornado,B18NEVBC3NE,NEVBC Boys 18 Blue,B18,3,2025-11-22,2026-03-14,B18NESVC3NE,B18NEVBC3NE,10.0,-2.0,-12.0,True
B17LHVBC2NE__B17RRJVB3NE,B17LHVBC2NE,LHV Boys 17-2 Boom,B17RRJVB3NE,Boston United Boys 17 Select 1,B17,3,2025-11-22,2026-02-01,B17LHVBC2NE,B17RRJVB3NE,9.0,-25.0,-34.0,True
B14LHVBC1NE__B14RRJVB1NE,B14LHVBC1NE,LHV Boys 14-1 Premier,B14RRJVB1NE,Boston United Boys 14-1,B14,3,2025-11-22,2026-01-17,B14LHVBC1NE,B14RRJVB1NE,17.0,-24.0,-41.0,True
B14117752XX__B14TACCU1GE,B14117752XX,ValleyVBC Elite Boys,B14TACCU1GE,Accuracy 14 Champ,B14,2,2025-11-22,2025-11-23,B14TACCU1GE,B14117752XX,-24.0,5.0,29.0,True
B18BVJVB1NE__B18VTVBC1NE,B18BVJVB1NE,Blast 18 Fire,B18VTVBC1NE,VTV 18 1,B18,2,2026-01-17,2026-01-19,B18VTVBC1NE,B18BVJVB1NE,-11.0,15.0,26.0,True
B16NESVC2NE__B16RRJVB3NE,B16NESVC2NE,NE Storm 16 Monsoon,B16RRJVB3NE,Boston United Boys 16 Select 1,B16,2,2025-11-22,2026-01-19,B16RRJVB3NE,B16NESVC2NE,-11.0,13.0,24.0,True
B18MVPVA2NE__B18SJVBC2NE,B18MVPVA2NE,MVP BOS 18 Blue,B18SJVBC2NE,South County Juniors Boys 18's Gold,B18,2,2025-11-23,2026-02-07,B18SJVBC2NE,B18MVPVA2NE,-7.0,13.0,20.0,True
B16MCJVB2NE__B16NEVBC4NE,B16MCJVB2NE,Mill City 16 Royal,B16NEVBC4NE,NEVBC Boys 16 Orange,B16,2,2025-11-23,2026-03-15,B16NEVBC4NE,B16MCJVB2NE,-13.0,6.0,19.0,True
