team_code,team_name,club,age,opponent_code,opponent_name,pool_key,meetings_count,first_meeting_date,latest_meeting_date,first_result,latest_result,winner_changed,first_point_margin,latest_point_margin,point_margin_shift,point_margin_slope,performance_slope,win_rate
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14SAVBC1XL,Sporting Albany Boys 14u,MIXED,4,2025-12-20,2026-03-14,W,L,True,15.0,-21.0,-36.0,-9.7,-0.2,0.5
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14117752XX,ValleyVBC Elite Boys,MIXED,2,2026-02-01,2026-03-14,L,L,False,-16.0,-1.0,15.0,15.0,0.0,0.0
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14CAPIT2XL,CSVC 14 SAWTEETH,MIXED,1,2025-12-20,2025-12-20,W,W,False,24.0,24.0,0.0,0.0,0.0,1.0
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14HKJVB1NE,Husky 14.1,MIXED,1,2026-01-31,2026-01-31,W,W,False,12.0,12.0,0.0,0.0,0.0,1.0
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14NEVBC1NE,NEVBC Boys 14.1,MIXED,1,2026-03-15,2026-03-15,L,L,False,-18.0,-18.0,0.0,0.0,0.0,0.0
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14RRJVB1NE,Boston United Boys 14-1,MIXED,1,2026-02-01,2026-02-01,L,L,False,-11.0,-11.0,0.0,0.0,0.0,0.0
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14SJJVB1NE,SMASH Boys 14-1,MIXED,1,2025-12-21,2025-12-21,L,L,False,-22.0,-22.0,0.0,0.0,0.0,0.0
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14SJJVB2NE,SMASH Boys 14's Thunder,MIXED,1,2025-12-21,2025-12-21,W,W,False,16.0,16.0,0.0,0.0,0.0,1.0
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14CAPIT1XL,CSVC 14 CASCADE,MIXED,2,2025-12-20,2026-03-15,W,W,False,16.0,11.0,-5.0,-5.0,0.0,1.0
B13SJJVB1NE,SMASH Boys 13-1,SJJVB,13,B14RRJVB2NE,Boston United Boys 13 Select 1,MIXED,2,2026-01-31,2026-03-14,W,W,False,18.0,13.0,-5.0,-5.0,0.0,1.0
