model,pool_key,matches,accuracy,log_loss,brier
elo_baseline,,7,0.7142857142857143,0.6797465126018538,0.24330151306999603
elo_margin,,7,0.7142857142857143,0.6669924137049775,0.23691214984521775
massey,,7,0.7142857142857143,0.670416658018899,0.23856476889995135
hybrid_points,,7,0.5714285714285714,0.6229391838299685,0.22187803084077268
massey,ALL,6677,0.7379062453197544,0.6231745329599074,0.2157490113992956
elo_margin,ALL,6677,0.6889321551595028,0.6228288169976363,0.21650378592061068
elo_baseline,ALL,6677,0.6711097798412461,0.6547181886804185,0.23111701336254598
hybrid_points,ALL,6677,0.6699116369627078,0.9473758103844063,0.2513233295771744
massey,B14,139,0.7913669064748201,0.6004908879839861,0.20476783160767603
elo_baseline,B14,139,0.7338129496402878,0.6232835275578412,0.2159339819704223
elo_margin,B14,139,0.7338129496402878,0.5632108297130332,0.18958351034480367
hybrid_points,B14,139,0.6906474820143885,0.9743064429955205,0.2334023682578968
massey,B15,158,0.7911392405063291,0.6277548830917713,0.21771700331977661
elo_margin,B15,158,0.7468354430379747,0.5868331165504332,0.20009026997569207
hybrid_points,B15,158,0.7278481012658228,0.7157542714573653,0.21284061467015503
elo_baseline,B15,158,0.7151898734177216,0.6337763705617209,0.22106630818201925
massey,B16,297,0.7676767676767676,0.6284774416892717,0.21800388332771967
elo_margin,B16,297,0.7306397306397306,0.5891205660376149,0.20137583437075818
elo_baseline,B16,297,0.7104377104377104,0.6309293517139454,0.21969531948121912
hybrid_points,B16,297,0.6430976430976431,1.0438603053663873,0.27677203461940314
massey,B17,327,0.7155963302752294,0.6422011535230946,0.22480567479942232
elo_margin,B17,327,0.6483180428134556,0.633488244771388,0.22167513424826366
elo_baseline,B17,327,0.6391437308868502,0.6600548236066323,0.23380458794546488
hybrid_points,B17,327,0.6055045871559633,1.2814706666069036,0.313824630369133
massey,B18,373,0.710455764075067,0.6448931791783717,0.22622820046124933
elo_margin,B18,373,0.6729222520107239,0.6306670690287196,0.22018505709197222
hybrid_points,B18,373,0.6648793565683646,1.0985777244468506,0.2672789723410349
elo_baseline,B18,373,0.646112600536193,0.6570159913031325,0.23226585514189058
massey,G12,203,0.7783251231527094,0.598982386388246,0.20427207066382708
elo_baseline,G12,203,0.7339901477832512,0.6498146402910759,0.22861196087800534
elo_margin,G12,203,0.7339901477832512,0.6081291422672702,0.20940935388556517
hybrid_points,G12,203,0.7044334975369458,0.7071599520055951,0.22536409688920309
massey,G13,432,0.7986111111111112,0.6035126173928723,0.2062607188923144
elo_margin,G13,432,0.7268518518518519,0.6235681694665566,0.21626991396468204
elo_baseline,G13,432,0.7222222222222222,0.6569019920969011,0.23206236768029373
hybrid_points,G13,432,0.7083333333333334,0.8963419452460597,0.2305922851455218
massey,G14,756,0.746031746031746,0.6097125380135368,0.20939357940659917
hybrid_points,G14,756,0.6917989417989417,0.7981346159163437,0.23008590158694903
elo_margin,G14,756,0.6838624338624338,0.6207420076510696,0.21544258429795202
elo_baseline,G14,756,0.6772486772486772,0.6557484984970585,0.231560792489047
massey,G15,952,0.7258403361344538,0.6235618169775811,0.21593837323675744
elo_margin,G15,952,0.6880252100840336,0.6300295110018855,0.21957480044403485
elo_baseline,G15,952,0.6701680672268907,0.659477642201135,0.23338223160704208
hybrid_points,G15,952,0.6596638655462185,0.9462349920398121,0.2488378931660879
massey,G16,1225,0.7248979591836735,0.6269757152963423,0.217609955367921
elo_margin,G16,1225,0.6783673469387755,0.631954907706539,0.22071971988398478
hybrid_points,G16,1225,0.6751020408163265,0.9759531805448739,0.2507421793309896
elo_baseline,G16,1225,0.6636734693877551,0.6592352584620651,0.23330043877208936
massey,G17,867,0.7393310265282583,0.6202630786380181,0.21435038013410004
elo_margin,G17,867,0.7116493656286044,0.6178596849420748,0.2139976235874821
elo_baseline,G17,867,0.6828143021914648,0.6518769890383157,0.22968407621031867
hybrid_points,G17,867,0.6793540945790081,0.9537607984339053,0.24873680705913126
massey,G18,698,0.7378223495702005,0.6226643694922801,0.21545754377339482
elo_margin,G18,698,0.6561604584527221,0.6198746016264937,0.21565312210591844
hybrid_points,G18,698,0.6361031518624641,0.9623286359125323,0.26738498038673775
elo_baseline,G18,698,0.6174785100286533,0.6520381872364666,0.22992995791959894
hybrid_points,MIXED,243,0.6625514403292181,0.8426984047554592,0.24811473873829676
massey,MIXED,243,0.6502057613168725,0.6546079334048522,0.2309974243547291
elo_margin,MIXED,243,0.6337448559670782,0.6633438168011606,0.23561162051302947
elo_baseline,MIXED,243,0.6296296296296297,0.6773881695870843,0.24223809311022887
