team_code,rating,matches_played,wins,losses,model,pool_key,rank
B17SYRVB1XL,1698.6089314529127,8,8,0,elo_margin,B17,1
B17NESVC1NE,1654.6911833833901,13,11,2,elo_margin,B17,2
B17SJJVB1NE,1651.1226475802857,6,6,0,elo_margin,B17,3
B17SJJVB2NE,1618.6202808017542,8,6,2,elo_margin,B17,4
B17NYCVA1GE,1610.2194715541327,7,6,1,elo_margin,B17,5
B17SJJVB3NE,1592.8252729435021,7,6,1,elo_margin,B17,6
B17HKJVB1NE,1556.6530190882495,5,3,2,elo_margin,B17,7
B17TTVBC1NE,1547.1709810378518,18,10,8,elo_margin,B17,8
B17CAPIT1XL,1545.6355208392629,2,2,0,elo_margin,B17,9
B17MMVBC1NE,1541.8947185022473,10,7,3,elo_margin,B17,10
B17LHVBC1NE,1527.850291245408,11,7,4,elo_margin,B17,11
B17HKJVB2NE,1526.4099508195168,5,3,2,elo_margin,B17,12
B17MVNER1NE,1526.025976415692,12,8,4,elo_margin,B17,13
B17SJVBC1NE,1522.5439618280163,5,3,2,elo_margin,B17,14
B17HKJVB4NE,1517.2144580354616,5,3,2,elo_margin,B17,15
B17NESVC2NE,1514.3845760415288,18,10,8,elo_margin,B17,16
B17NEVBC2NE,1514.2898143075922,5,3,2,elo_margin,B17,17
B17RRJVB1NE,1507.5946149419367,7,3,4,elo_margin,B17,18
B17BVJVB1NE,1498.0097372293385,17,8,9,elo_margin,B17,19
B17MVPVA1NE,1491.9019683240338,10,5,5,elo_margin,B17,20
B17CAMYV1NE,1490.5248749292393,13,7,6,elo_margin,B17,21
B17NEVBC1NE,1489.2860880371713,7,3,4,elo_margin,B17,22
B17HKJVB3NE,1487.4518791726375,7,3,4,elo_margin,B17,23
B17PVJVB2NE,1484.057038669307,14,7,7,elo_margin,B17,24
B17MVPVA2NE,1480.2943437738927,10,4,6,elo_margin,B17,25
B17PVJVB1NE,1476.8475794820972,15,7,8,elo_margin,B17,26
B17RRJVB2NE,1446.4000188930463,12,5,7,elo_margin,B17,27
B17CAPIT2XL,1443.0616139065266,11,4,7,elo_margin,B17,28
B17NESVC3NE,1437.593351977768,13,5,8,elo_margin,B17,29
B17CSJVB1NE,1401.0928284117788,5,0,5,elo_margin,B17,30
B17PVJVB3NE,1385.8331183826108,14,5,9,elo_margin,B17,31
B17RRJVB3NE,1370.50402172887,18,5,13,elo_margin,B17,32
B17TTVBC2NE,1354.7536334928466,17,4,13,elo_margin,B17,33
B17MVNER2NE,1319.0981409504823,10,1,9,elo_margin,B17,34
B17LHVBC2NE,1269.5340918196116,17,3,14,elo_margin,B17,35
