team_code,rating,matches_played,wins,losses,model,pool_key,rank
G12SJJVB1NE,1622.5345000224784,5,5,0,elo_margin,G12,1
G12EYNER1NE,1587.4160104786672,3,3,0,elo_margin,G12,2
G12AVVBC1NE,1579.7764606724752,3,3,0,elo_margin,G12,3
G12113231XX,1574.9060868443466,3,3,0,elo_margin,G12,4
G12MAJVB1NE,1573.5104182459138,3,3,0,elo_margin,G12,5
G12SJJVB2NE,1545.1623346154818,5,3,2,elo_margin,G12,6
G12MCJVB1NE,1530.0,3,2,1,elo_margin,G12,7
G12RRJVB2NE,1527.4160104786672,3,2,1,elo_margin,G12,8
G12AVVBC2NE,1527.3567137939717,3,2,1,elo_margin,G12,9
G12TTVBC2NE,1521.808291035055,3,2,1,elo_margin,G12,10
G12SJJVB3NE,1486.0269753813182,6,3,3,elo_margin,G12,11
G12TCJVB1NE,1481.5528223770064,3,1,2,elo_margin,G12,12
G12LHVBC1NE,1473.4580635703167,5,2,3,elo_margin,G12,13
G12HRJVB1NE,1470.7336111325228,3,1,2,elo_margin,G12,14
G12LDNER2NE,1468.213392495366,3,1,2,elo_margin,G12,15
G12NSJVB1NE,1465.3611097163905,3,1,2,elo_margin,G12,16
G12RRJVB1NE,1452.5166239935022,3,1,2,elo_margin,G12,17
G12CMJVB1NE,1437.7069153340226,3,0,3,elo_margin,G12,18
G12112721XX,1427.9384903792761,8,2,6,elo_margin,G12,19
G12CMJVB2NE,1421.732799743592,3,0,3,elo_margin,G12,20
G12113232XX,1418.864261620805,3,0,3,elo_margin,G12,21
G12TTVBC3NE,1406.0081080688246,3,0,3,elo_margin,G12,22
