team_code,rating,matches_played,wins,losses,model,pool_key,team_name,rank
G17NYCVA1GE,42.1584112680619,15,15,0,massey,G17,NYC VBA 17 Westside,1
G17NEVBC1NE,34.29409677726316,19,15,4,massey,G17,Northeast 17.1,2
G17SJJVB1NE,31.36332511162042,12,8,4,massey,G17,SMASH 17s,3
G17LDNER1NE,31.01262210212259,13,9,4,massey,G17,Lockdown VBC 17 Phoenix,4
G17VOLFX1WE,30.26341393467159,14,10,4,massey,G17,VolleyFX 17 Rapture,5
G17MAVRK1OV,30.191227162278544,8,6,2,massey,G17,Maverick 17 Maroon,6
G17SOSVB1GE,30.092902431926028,5,2,3,massey,G17,Sideout 17N Justin,7
G17BUFLO1FL,28.66222337124484,9,8,1,massey,G17,Buffalo Stampeders-Tre Mann Elite 17 1,8
G17118611XX,27.365662125020336,9,8,1,massey,G17,JVC 17 1,9
G17SJJVB2NE,26.873374879945416,11,9,2,massey,G17,SMASH 17s Black Ice,10
G17MCJVB1NE,25.65284898444451,18,12,6,massey,G17,Mill City 17's,11
G17CMJVB1NE,25.334692883826314,12,8,4,massey,G17,CMASS EDGE 17 Black,12
G17PINVA1GE,25.036368003731784,8,4,4,massey,G17,PVA 17 National Summit,13
G17SPAVB1XL,24.968160734060614,17,9,8,massey,G17,Spa City 17 Aqua,14
G17ELITE1GE,23.85645993433151,7,3,4,massey,G17,New York Elite 17 Black,15
G17NEVBC2NE,23.55833864293193,15,13,2,massey,G17,Northeast 17.2,16
G17117971XX,23.13908513877211,8,7,1,massey,G17,17U BPR 17 1,17
G17MGJVB1NE,22.553379076783475,9,8,1,massey,G17,MGA 17's South,18
G17HKJVB1NE,21.71120111121623,11,2,9,massey,G17,Husky 17 National,19
G17PARAD1WE,21.542144523620482,4,3,1,massey,G17,Paradigm Revolt,20
G17SOSVB2GE,21.286349289457775,5,2,3,massey,G17,Sideout 17N Artem,21
G17NYCJR1GE,20.68969669283318,12,5,7,massey,G17,NYC Juniors 17 National,22
G17HKJVB2NE,19.7539549731612,6,6,0,massey,G17,Husky 17 Northeast Red,23
G17MNJVB1NE,17.944758268797084,26,24,2,massey,G17,Maine Jrs 17 National,24
G17WAREN1GE,17.906037587189928,3,3,0,massey,G17,Warren Sixpack 17 red,25
G17GRVBC1NE,17.845635681560147,7,4,3,massey,G17,GVC 17-1,26
G17BEVNY1GE,17.584163498743873,7,3,4,massey,G17,BEV 17 Empire,27
G17OCLEV1GE,15.89885204403973,9,6,3,massey,G17,OC Lady Elite 17 Black,28
G17LFJVB1NE,15.46110615241552,19,14,5,massey,G17,603 United 17 Seacoast Black,29
