team_code,rating,matches_played,wins,losses,model,pool_key,team_name,rank
G16PARAD1WE,42.12499999999936,1,1,0,massey,MIXED,Paradigm Rebellion,1
G14MAJVB3NE,34.750000000000234,1,1,0,massey,MIXED,Mass Premier 14 2 Blue,2
G12NYCJR1GE,34.45061728395043,1,1,0,massey,MIXED,NYC Juniors 12 Blue,3
G15SJJVB1NE,34.12499999999942,5,4,1,massey,MIXED,SMASH 15s,4
G16NEVBC5NE,33.40909090909068,1,1,0,massey,MIXED,Northeast 16 Orange,5
G16LFJVB2NE,30.409090909090327,1,1,0,massey,MIXED,603 United 16 Seacoast White,6
G12LIBER1CH,29.450617283950404,1,1,0,massey,MIXED,Libero 12 Huskies,7
G14ROCKA1GE,29.333333333333226,1,1,0,massey,MIXED,RVT 14-1 Surf,8
G16HKJVB2NE,28.124999999999343,1,0,1,massey,MIXED,Husky 16 Northeast Red,9
G16LHVBA1GE,25.666666666666686,1,1,0,massey,MIXED,LHVA 16 Purple National,10
G12SJJVB1NE,25.450617283951054,1,1,0,massey,MIXED,SMASH 12s,11
G12118021XX,25.450617283950443,1,1,0,massey,MIXED,NYCLBVC 12U BLUE,12
G16APXTC2OV,24.666666666666718,1,1,0,massey,MIXED,Apex VBTC 16 Apex White,13
G14RENAS1KE,24.333333333333258,1,0,1,massey,MIXED,Renaissance 14 Black,14
B14SJJVB1NE,23.9772727272727,1,1,0,massey,MIXED,SMASH Boys 14-1,15
G16DDVBC1NE,22.833333333333357,1,1,0,massey,MIXED,Dig Deep 16 Ginger,16
G14PVJVB3NE,22.57142857142857,1,1,0,massey,MIXED,PV 14 Pink Panthers,17
G18SJVBC1NE,21.90909090909101,1,1,0,massey,MIXED,South County 18-Blue,18
G12TCJVB1NE,21.617283950616994,2,2,0,massey,MIXED,Nova 12 Select Brie/Ryleigh,19
G16CMJVB3NE,21.499999999999936,1,1,0,massey,MIXED,CMASS EDGE 16 White,20
G16TTVBC4NE,21.454545454545457,1,1,0,massey,MIXED,SLAM 16R Silver,21
G14NEVBC2NE,21.333333333333307,1,1,0,massey,MIXED,Northeast 14.2,22
G14MXVBC1NE,20.700000000000003,2,2,0,massey,MIXED,Max Performance 14 Jaz,23
G16NESVC1NE,20.499999999999975,1,1,0,massey,MIXED,NE Storm 16 Avalanche,24
G16DRVBC1NE,20.454545454545453,1,1,0,massey,MIXED,Dragons 16 Fyre,25
B14NEVBC1NE,19.977272727272805,1,1,0,massey,MIXED,NEVBC Boys 14.1,26
G16PARAD2WE,19.312499999999996,1,1,0,massey,MIXED,Paradigm Rumble,27
G16LDNER1NE,19.124999999999602,2,1,1,massey,MIXED,Lockdown VBC 16 Hawks,28
G16WAREN1GE,19.1249999999994,1,0,1,massey,MIXED,Warren Sixpack 16 red,29
B18PVJVB1NE,18.868723165951064,2,1,1,massey,MIXED,PV Boys 18 1,30
G15NEVBC5NE,18.166666666666647,1,1,0,massey,MIXED,Northeast 15 Black,31
B15SYRVB1XL,18.04596424770784,7,7,0,massey,MIXED,SVC 15 1 Boys,32
G12ROCKA3GE,17.450617283950386,1,1,0,massey,MIXED,RVT 12-3 Sail,33
G17NYCJR3GE,17.40000000000005,1,1,0,massey,MIXED,NYC Juniors 17 SI,34
G17NYCIV1GE,17.399999999999963,1,1,0,massey,MIXED,NYC Impact 17U Black,35
G14NYCJR5GE,17.333333333333233,1,1,0,massey,MIXED,NYC Juniors 14 Brooklyn,36
G16UNVBC1NE,16.454545454545404,1,1,0,massey,MIXED,Unity 16 Girls Gold Valkeries,37
G12SJJVB3NE,15.45061728395125,1,1,0,massey,MIXED,SMASH 12's Volts,38
G18DDVBC1NE,15.100000000000028,1,1,0,massey,MIXED,Dig Deep 18 Ginger,39
B16SJJVB1NE,14.97826086956514,5,5,0,massey,MIXED,SMASH Boys 16-1,40
G12LDNER1NE,14.450617283951011,1,1,0,massey,MIXED,Lockdown VBC 12 SandPipers,41
G16NEVBC6NE,14.409090909090875,1,0,1,massey,MIXED,Northeast 16 Black,42
G18PARAD1WE,14.250000000000025,2,2,0,massey,MIXED,Paradigm Revolution,43
G17GRVBC2NE,13.833333333333385,1,1,0,massey,MIXED,GVC 17-2,44
B18SJJVB3NE,13.62318840579703,3,2,1,massey,MIXED,SMASH Boys 18's Surge,45
B17CAPIT1XL,13.53607429531451,13,13,0,massey,MIXED,CSVC 17 BIG SLIDE,46
B14RRJVB1NE,12.977272727272807,1,1,0,massey,MIXED,Boston United Boys 14-1,47
G18LFJVB2NE,12.909090909091052,1,1,0,massey,MIXED,603 United 18 Seacoast White,48
G17MCJVB2NE,12.833333333333357,1,1,0,massey,MIXED,Mill City 17 Orange,49
G17EYNER1NE,12.40000000000001,1,1,0,massey,MIXED,ENVY 17 NATIONAL,50
G14118022XX,12.333333333333302,1,1,0,massey,MIXED,NYCLBVC 14U WHITE,51
G13118021XX,12.333333333333234,8,6,2,massey,MIXED,NYCLBVC 13U BLUE,52
G18USANY1XL,12.250000000000048,1,1,0,massey,MIXED,USANY Fortitude 18 - 1,53
G16PVJVB1NE,12.124999999999407,1,0,1,massey,MIXED,PV 16 National,54
B18315VB1XL,11.90979092775808,2,2,0,massey,MIXED,315VB 18 USA,55
B16CAPIT1XL,11.484618633759172,5,4,1,massey,MIXED,CSVC 16 WOLFJAW,56
G14LFJVB3NE,10.700000000000028,1,1,0,massey,MIXED,603 United 14 Seacoast Blue,57
B17NEVBC1NE,10.61204965465744,3,2,1,massey,MIXED,NEVBC Boys 17.1,58
G16MCJVB6NE,10.562500000000043,2,1,1,massey,MIXED,Mill City 16 Teal,59
B14117752XX,10.477272727272805,2,2,0,massey,MIXED,ValleyVBC Elite Boys,60
G15MIVBC1NE,10.409090909090674,6,4,2,massey,MIXED,Mass Impact 15 Brent,61
B15LEGIO1XL,10.228548102310551,4,3,1,massey,MIXED,TeamLVC Boys 15 Black,62
G17SHVBC1NE,9.909090909090974,1,1,0,massey,MIXED,NE Shock 17 1,63
G18HKJVB2NE,9.400000000000006,2,2,0,massey,MIXED,Husky 18 Northeast,64
G17SJJVB1NE,9.250000000000046,4,2,2,massey,MIXED,SMASH 17s,65
