team_code,rating,matches_played,wins,losses,model,pool_key,rank
B14SJJVB1NE,1728.261160982673,10,10,0,elo_margin,B14,1
B14117752XX,1631.6777372090492,16,13,3,elo_margin,B14,2
B14NEVBC1NE,1621.484722872396,6,5,1,elo_margin,B14,3
B14TACCU1GE,1601.2906049126625,6,5,1,elo_margin,B14,4
B14SAVBC1XL,1573.8423285129986,9,6,3,elo_margin,B14,5
B14RRJVB1NE,1493.979336511176,18,9,9,elo_margin,B14,6
B14RRJVB2NE,1447.3415080208742,4,1,3,elo_margin,B14,7
B14HKJVB1NE,1446.0003183118536,4,1,3,elo_margin,B14,8
B14LHVBC1NE,1444.8363562382613,18,8,10,elo_margin,B14,9
B14SJJVB2NE,1421.5164151528497,10,4,6,elo_margin,B14,10
B14MVPVA1NE,1410.3326895499497,18,5,13,elo_margin,B14,11
B14CAPIT1XL,1378.5610944288321,12,2,10,elo_margin,B14,12
B14CAPIT2XL,1300.8757272964242,13,3,10,elo_margin,B14,13
B15SJJVB1NE,1656.4707018792133,12,10,2,elo_margin,B15,1
B15RRJVB1NE,1647.61775417258,11,9,2,elo_margin,B15,2
B15NEVBC1NE,1629.5221526227504,11,7,4,elo_margin,B15,3
B15MCJVB1NE,1590.619736438841,15,10,5,elo_margin,B15,4
B15LEGIO1XL,1553.5123411145182,9,6,3,elo_margin,B15,5
B15SYRVB1XL,1547.292946495494,2,2,0,elo_margin,B15,6
B15NYCVA1GE,1537.5879262835547,5,3,2,elo_margin,B15,7
B15TACCU1GE,1517.7896648524727,5,3,2,elo_margin,B15,8
B15HKJVB1NE,1475.7412467511385,5,2,3,elo_margin,B15,9
B15LHVBC1NE,1451.315689841552,10,4,6,elo_margin,B15,10
B15SJJVB2NE,1450.1338954126413,10,4,6,elo_margin,B15,11
B15CAPIT1XL,1438.8873170932036,9,3,6,elo_margin,B15,12
B15SJVBC1NE,1419.371498049496,10,3,7,elo_margin,B15,13
B15SAVBC1XL,1408.7584328820174,10,3,7,elo_margin,B15,14
B15NEVBC3NE,1406.9688654364986,5,1,4,elo_margin,B15,15
B15RRJVB2NE,1388.322885778588,12,3,9,elo_margin,B15,16
B15TTVBC1NE,1380.0869448954402,7,1,6,elo_margin,B15,17
B16LEGIO1XL,1717.7356882753509,14,13,1,elo_margin,B16,1
B16SJJVB1NE,1657.2243156633358,6,6,0,elo_margin,B16,2
B16SAVBC1XL,1641.5051456860087,11,7,4,elo_margin,B16,3
B16SYRVB1XL,1639.4447470866992,8,7,1,elo_margin,B16,4
B16CAPIT1XL,1604.2142359357545,9,7,2,elo_margin,B16,5
B16NESVC1NE,1587.6416617853217,17,11,6,elo_margin,B16,6
B16NEVBC2NE,1587.3719176387972,6,5,1,elo_margin,B16,7
B16NESVC2NE,1583.6995539814407,7,5,2,elo_margin,B16,8
B16MCJVB1NE,1580.6877402711254,15,11,4,elo_margin,B16,9
B16LHVBC1NE,1566.2160691195506,11,8,3,elo_margin,B16,10
B16SJJVB2NE,1561.2460704157322,11,6,5,elo_margin,B16,11
B16118971XX,1549.6164977484832,12,8,4,elo_margin,B16,12
B16HKJVB1NE,1547.8794038803544,6,4,2,elo_margin,B16,13
B16NEVBC1NE,1545.606335255264,10,6,4,elo_margin,B16,14
B16NYCVA1GE,1523.1373356885153,5,3,2,elo_margin,B16,15
B16NEVBC4NE,1522.0555111515541,5,3,2,elo_margin,B16,16
B16HKJVB2NE,1512.4288368192415,5,3,2,elo_margin,B16,17
B16TACCU1GE,1509.6718723850406,5,3,2,elo_margin,B16,18
B16RRJVB3NE,1486.7689780863718,15,7,8,elo_margin,B16,19
B16PVJVB2NE,1469.4162696110616,9,5,4,elo_margin,B16,20
B16JHEAT1GE,1463.0885588812073,5,2,3,elo_margin,B16,21
B16NEVBC3NE,1441.6565276061956,5,2,3,elo_margin,B16,22
B16MVPVA1NE,1440.048912763994,10,3,7,elo_margin,B16,23
B16RRJVB1NE,1432.6894850987342,10,4,6,elo_margin,B16,24
