team_code,rating,matches_played,wins,losses,model,pool_key,team_name,rank
G16CJVBA6GE,20.200000000000003,1,1,0,massey,,CJVA 16 Red,1
G15LIBER1CH,13.499999999999973,1,0,1,massey,,Libero 15 HUSKIES,2
G16MGJVB1NE,12.199999999999998,1,1,0,massey,,MGA 16's North,3
G16BEVNY3GE,3.199999999999998,1,1,0,massey,,BEV 16 Skyline,4
G15LUNAR5GEX,2.499999999999999,3,3,0,massey,,Lunar 15 1,5
G15CAPVC1GE,-5.499999999999987,1,0,1,massey,,Capitals 15 National,6
G16LUNAR5GEX,-9.800000000000002,4,1,3,massey,,CCC - Hawks 16,7
G15PINVA2GE,-10.499999999999982,1,0,1,massey,,PVA 15 National Peak,8
G16BEVNY4GE,-25.799999999999994,1,0,1,massey,,BEV 16 High Rise,9
B14COQUI1PU,27.127429440534122,8,8,0,massey,B14,BORINQUEN COQUI 14M Pirito,1
B14SJJVB1NE,22.60139552204378,15,14,1,massey,B14,SMASH Boys 14-1,2
B14117901XX,20.91875138438613,7,6,1,massey,B14,Torrimar 14 1,3
B14NEVBC1NE,16.563696300593413,11,10,1,massey,B14,NEVBC Boys 14.1,4
B14CORE11GE,14.493527932767936,8,7,1,massey,B14,CORE Boys 14 Platinum,5
B14TACCU1GE,12.99067991388991,13,10,3,massey,B14,Accuracy 14 Champ,6
B14SAVBC1XL,10.01266893874607,13,9,4,massey,B14,Sporting Albany Boys 14u,7
B14117752XX,6.467841022571149,20,15,5,massey,B14,ValleyVBC Elite Boys,8
B14RRJVB1NE,1.6941838498132815,23,12,11,massey,B14,Boston United Boys 14-1,9
B14LHVBC1NE,-4.5751576062759005,26,12,14,massey,B14,LHV Boys 14-1 Premier,10
B14SPTMC2GE,-5.8503803434149395,7,3,4,massey,B14,Sportime 14 2,11
B14MVPVA1NE,-6.5349673529257855,26,8,18,massey,B14,MVP BOS 14 Black,12
B14CAPIT1XL,-7.921514188417868,22,5,17,massey,B14,CSVC 14 CASCADE,13
B14SJJVB2NE,-10.191238124009908,15,5,10,massey,B14,SMASH Boys 14's Thunder,14
B14HKJVB1NE,-11.815868376704001,8,3,5,massey,B14,Husky 14.1,15
B14CAPIT2XL,-12.647749647371388,18,3,15,massey,B14,CSVC 14 SAWTEETH,16
B14LIFRY1GE,-12.981216866299043,7,2,5,massey,B14,LI Fury 14 1,17
B14LCVBC1GE,-13.653006117089063,8,2,6,massey,B14,Legacy Boys 14 Premier,18
B14SPTMC3GE,-13.787497220304667,8,1,7,massey,B14,Sportime 14 3,19
B14ROCVC1GE,-15.592490558657941,7,2,5,massey,B14,Rockland VBC 14 1,20
B14RRJVB2NE,-17.31908790387522,8,2,6,massey,B14,Boston United Boys 13 Select 1,21
B15SJJVB1NE,14.844131576831202,18,15,3,massey,B15,SMASH Boys 15-1,1
B15RRJVB1NE,14.60259015424409,25,22,3,massey,B15,Boston United Boys 15 National,2
B15NEVBC1NE,12.354477893768777,11,7,4,massey,B15,NEVBC Boys 15.1,3
B15CORE11GE,11.905051040200156,8,6,2,massey,B15,CORE Boys 15 Platinum,4
B15SYRVB1XL,9.445861155439259,2,2,0,massey,B15,SVC 15 1 Boys,5
B15NYCVA1GE,8.935562043462168,13,8,5,massey,B15,NYC VBA 15 Nomad,6
B15MCJVB1NE,8.367744148035026,20,13,7,massey,B15,Mill City 15's,7
B15LIFRY1GE,7.723088703671273,7,5,2,massey,B15,LI Fury 15 1,8
B15CORE12GE,7.71222491060771,7,5,2,massey,B15,CORE Boys 15 Titanium,9
B15ALLIN1FL,7.187170842880399,8,5,3,massey,B15,AVA 15 Boys,10
B15TACCU1GE,3.7754279498058336,13,8,5,massey,B15,Accuracy 15 Champ,11
