pool_key,team_code,team_name,local_rank,local_rating,wins,losses,matches_played,local_accuracy_pct,usav_national_accuracy_pct,usav_regional_accuracy_pct,local_picks_made,usav_national_picks_made,usav_regional_picks_made,event_name,model,local_edge_vs_usav_national_pp,local_edge_vs_usav_regional_pp,recommended_seed_source
B14,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,1,27.127429440534108,8,0,8,,,,,,,,,,,
B14,B14SJJVB1NE,SMASH Boys 14-1,2,22.601395522043777,14,1,15,,,,,,,,,,,
B14,B14117901XX,Torrimar 14 1,3,20.918751384386127,6,1,7,,,,,,,,,,,
B14,B14NEVBC1NE,NEVBC Boys 14.1,4,16.563696300593385,10,1,11,,,,,,,,,,,
B14,B14CORE11GE,CORE Boys 14 Platinum,5,14.493527932767922,7,1,8,,,,,,,,,,,
B14,B14TACCU1GE,Accuracy 14 Champ,6,12.9906799138899,10,3,13,,,,,,,,,,,
B14,B14SAVBC1XL,Sporting Albany Boys 14u,7,10.012668938746055,9,4,13,,,,,,,,,,,
B14,B14117752XX,ValleyVBC Elite Boys,8,6.467841022571148,15,5,20,,,,,,,,,,,
B14,B14RRJVB1NE,Boston United Boys 14-1,9,1.6941838498132835,12,11,23,,,,,,,,,,,
B14,B14LHVBC1NE,LHV Boys 14-1 Premier,10,-4.575157606275895,12,14,26,,,,,,,,,,,
B14,B14SPTMC2GE,Sportime 14 2,11,-5.850380343414969,3,4,7,,,,,,,,,,,
B14,B14MVPVA1NE,MVP BOS 14 Black,12,-6.534967352925783,8,18,26,,,,,,,,,,,
B14,B14CAPIT1XL,CSVC 14 CASCADE,13,-7.921514188417853,5,17,22,,,,,,,,,,,
B14,B14SJJVB2NE,SMASH Boys 14's Thunder,14,-10.191238124009903,5,10,15,,,,,,,,,,,
B14,B14HKJVB1NE,Husky 14.1,15,-11.815868376703994,3,5,8,,,,,,,,,,,
B14,B14CAPIT2XL,CSVC 14 SAWTEETH,16,-12.647749647371374,3,15,18,,,,,,,,,,,
B14,B14LIFRY1GE,LI Fury 14 1,17,-12.981216866299041,2,5,7,,,,,,,,,,,
B14,B14LCVBC1GE,Legacy Boys 14 Premier,18,-13.653006117089065,2,6,8,,,,,,,,,,,
B14,B14SPTMC3GE,Sportime 14 3,19,-13.787497220304692,1,7,8,,,,,,,,,,,
B14,B14ROCVC1GE,Rockland VBC 14 1,20,-15.592490558657936,2,5,7,,,,,,,,,,,
B14,B14RRJVB2NE,Boston United Boys 13 Select 1,21,-17.31908790387525,2,6,8,,,,,,,,,,,
B15,B15SJJVB1NE,SMASH Boys 15-1,1,14.84413157683121,15,3,18,,,,,,,,,,,
B15,B15RRJVB1NE,Boston United Boys 15 National,2,14.602590154244096,22,3,25,,,,,,,,,,,
B15,B15NEVBC1NE,NEVBC Boys 15.1,3,12.35447789376875,7,4,11,,,,,,,,,,,
B15,B15CORE11GE,CORE Boys 15 Platinum,4,11.905051040200142,6,2,8,,,,,,,,,,,
B15,B15SYRVB1XL,SVC 15 1 Boys,5,9.445861155439246,2,0,2,,,,,,,,,,,
B15,B15NYCVA1GE,NYC VBA 15 Nomad,6,8.935562043462184,8,5,13,,,,,,,,,,,
B15,B15MCJVB1NE,Mill City 15's,7,8.367744148035026,13,7,20,,,,,,,,,,,
