team_code,team_name
B13SJJVB1NE,SMASH Boys 13-1
B14117752XX,ValleyVBC Elite Boys
B14117901XX,Torrimar 14 1
B14CAPIT1XL,CSVC 14 CASCADE
B14CAPIT2XL,CSVC 14 SAWTEETH
B14COQUI1PU,BORINQUEN COQUI 14M Pirito
B14CORE11GE,CORE Boys 14 Platinum
B14HKJVB1NE,Husky 14.1
B14LCVBC1GE,Legacy Boys 14 Premier
B14LHVBC1NE,LHV Boys 14-1 Premier
B14LIFRY1GE,LI Fury 14 1
B14MVPVA1NE,MVP BOS 14 Black
B14NEVBC1NE,NEVBC Boys 14.1
B14ROCVC1GE,Rockland VBC 14 1
B14RRJVB1NE,Boston United Boys 14-1
B14RRJVB2NE,Boston United Boys 13 Select 1
B14SAVBC1XL,Sporting Albany Boys 14u
B14SJJVB1NE,SMASH Boys 14-1
B14SJJVB2NE,SMASH Boys 14's Thunder
B14SPTMC2GE,Sportime 14 2
B14SPTMC3GE,Sportime 14 3
B14TACCU1GE,Accuracy 14 Champ
B15ALLIN1FL,AVA 15 Boys
B15CAPIT1XL,CSVC 15 PANTHERS
B15CORE11GE,CORE Boys 15 Platinum
B15CORE12GE,CORE Boys 15 Titanium
B15DIGSV1GE,Digs Boys 15 Red
B15HKJVB1NE,Husky 15.1
B15LCVBC1GE,Legacy Boys 15 Premier
B15LEGIO1XL,TeamLVC Boys 15 Black
B15LHVBC1NE,LHV Boys 15-1 Eclipse
B15LIFRY1GE,LI Fury 15 1
B15MCJVB1NE,Mill City 15's
B15NEVBC1NE,NEVBC Boys 15.1
B15NEVBC3NE,NEVBC Boys 15 Blue
B15NYCIV1GE,NYC Impact 15 National
B15NYCVA1GE,NYC VBA 15 Nomad
B15RRJVB1NE,Boston United Boys 15 National
B15RRJVB2NE,Boston United Boys 15 Select 1
B15SAVBC1XL,Sporting Albany Boys 15u
B15SJJVB1NE,SMASH Boys 15-1
B15SJJVB2NE,SMASH Boys 15 Lightning
B15SJVBC1NE,South County Juniors Boys 15 1
B15SPTMC3GE,Sportime 15 3
B15SPTMC4GE,Sportime 15 4
B15SPTMC5GE,Sportime 15 Lynbrook
B15SYRVB1XL,SVC 15 1 Boys
B15TACCU1GE,Accuracy 15 Champ
B15TTVBC1NE,SLAM 15 1 Boys
B161130588XX,NY Strangers 16
B16118971XX,Supreme 16-1
B16ALLIN1FL,AVA 16 Boys
B16BVJVB1NE,Blast 16 Inferno
B16BVJVB2NE,Blast 16 Pyro
B16CAPIT1XL,CSVC 16 WOLFJAW
B16CORE11GE,CORE Boys 16 Platinum
B16CORE12GE,CORE Boys 16 Titanium
B16DIGSV1GE,Digs Boys 16 Red
B16HKJVB1NE,Husky 16.1
B16HKJVB2NE,Husky 16.2
B16JHEAT1GE,CJ HEAT 16-1 Boys
B16LCVBC1GE,Legacy Boys 16 National
B16LCVBC2GE,Legacy Boys 16 Premier
B16LEGIO1XL,TeamLVC Boys 16 Black
B16LHVBC1NE,LHV Boys 16-1 Valiants
B16LHVBC2NE,LHV Boys 16-2 Hunters
B16LIFRY1GE,LI Fury 16 1
B16LIFRY2GE,LI Fury 16 2
B16MCJVB1NE,Mill City 16's
B16MCJVB2NE,Mill City 16 Royal
B16MVNER1NE,Meraki VB 16 1
B16MVPVA1NE,MVP BOS 16 Black
B16MVPVA2NE,MVP BOS 16 Blue
B16NESVC1NE,NE Storm 16 Lightning
B16NESVC2NE,NE Storm 16 Monsoon
B16NEVBC1NE,NEVBC Boys 16.1
B16NEVBC2NE,NEVBC Boys 16.2
B16NEVBC3NE,NEVBC Boys 16 Blue
B16NEVBC4NE,NEVBC Boys 16 Orange
B16NYCIV2GE,NYC Impact 16U Travel
B16NYCVA1GE,NYC VBA 16 Hudson
B16PVJVB1NE,PV Boys 16 1
B16PVJVB2NE,PV Boys 16 2
B16RRJVB1NE,Boston United Boys 16 National 1
B16RRJVB3NE,Boston United Boys 16 Select 1
