club,total_pts,avg_finish_pct,entries,wins,losses,first_place_finishes,top3_finishes,best_finish,club_name,rank
NEVBC,107,90.2281746031746,12,56,12,5,11,1,Northeast 13.1,1
NYCVA,21,75.0,2,8,3,1,1,1,NYC VBA,2
SJJVB,91,74.04431216931216,12,41,25,0,8,2,SMASH,3
NYCJR,47,72.61904761904762,6,21,11,2,2,1,NYC Juniors,4
VOLFX,37,71.13095238095238,4,13,8,1,1,1,VolleyFX,5
SOSVB,56,59.62301587301587,8,25,17,1,3,1,Sideout 13N Carly,6
RRJVB,31,57.34126984126984,6,16,15,0,1,2,Boston United,7
HKJVB,49,54.90299823633157,9,22,24,1,2,1,Husky,8
LDNER,47,54.320436507936506,8,21,21,1,3,1,Lockdown VBC,9
CMJVB,49,46.5436507936508,10,24,29,0,1,2,CMASS EDGE,10
SPAVB,45,42.435064935064936,11,23,34,0,1,2,Spa City,11
MCJVB,36,36.48015873015873,10,16,35,0,2,3,Mill City 13's,12
CACLI,20,35.91269841269841,5,8,17,0,0,6,CALI,13
LEGIO,40,32.33796296296296,12,17,44,0,0,4,TeamLVC,14
CJJVB,8,23.53174603174603,4,2,18,0,0,5,CT Juniors,15
