team_code,team_name,club,wins,losses,sets_for,sets_against,pts_for,pts_against,set_ratio,pt_ratio,h2h_wins,h2h_set_ratio,finish,n_teams,event,division,finish_pts,finish_pct
G13NEVBC1NE,Northeast 13.1,NEVBC,6,0,12,0,304,215,1.0,0.5857418111753372,0.0,0.0,1,7,AAUTopSeriesSpring26,13 O,7,100.0
G13RRJVB1NE,Boston United 13 National,RRJVB,4,2,8,6,285,274,0.5714285714285714,0.5098389982110912,0.0,0.0,2,7,AAUTopSeriesSpring26,13 O,6,85.71428571428571
G13MCJVB1NE,Mill City 13's,MCJVB,3,2,7,6,265,258,0.5384615384615384,0.5066921606118547,0.0,0.0,3,7,AAUTopSeriesSpring26,13 O,5,71.42857142857143
G13SJJVB1NE,SMASH 13s,SJJVB,2,3,5,6,241,201,0.45454545454545453,0.5452488687782805,1.0,1.0,4,7,AAUTopSeriesSpring26,13 O,4,57.14285714285714
G13SPAVB1XL,Spa City 13 Aqua,SPAVB,2,3,5,7,228,257,0.4166666666666667,0.47010309278350515,0.0,0.0,5,7,AAUTopSeriesSpring26,13 O,3,42.857142857142854
G13LEGIO1XL,TeamLVC 13 Black,LEGIO,2,4,6,9,289,304,0.4,0.4873524451939292,0.0,0.0,6,7,AAUTopSeriesSpring26,13 O,2,28.57142857142857
G13CJJVB1NE,CT Juniors 13 National,CJJVB,0,5,1,10,161,264,0.09090909090909091,0.3788235294117647,0.0,0.0,7,7,AAUTopSeriesSpring26,13 O,1,14.285714285714285
G14NEVBC1NE,Northeast 14.1,NEVBC,6,0,12,1,307,210,0.9230769230769231,0.5938104448742747,0.0,0.0,1,7,AAUTopSeriesSpring26,14 O,7,100.0
G14HKJVB1NE,Husky 14 National,HKJVB,4,1,8,3,237,216,0.7272727272727273,0.5231788079470199,0.0,0.0,2,7,AAUTopSeriesSpring26,14 O,6,85.71428571428571
G14SJJVB1NE,SMASH 14s,SJJVB,3,3,8,6,303,255,0.5714285714285714,0.543010752688172,1.0,1.0,3,7,AAUTopSeriesSpring26,14 O,5,71.42857142857143
G14SPAVB1XL,Spa City 14 Aqua,SPAVB,3,3,7,7,269,278,0.5,0.49177330895795246,0.0,0.0,4,7,AAUTopSeriesSpring26,14 O,4,57.14285714285714
G14LEGIO1XL,TeamLVC 14 Black,LEGIO,2,3,4,6,214,216,0.4,0.49767441860465117,0.0,0.0,5,7,AAUTopSeriesSpring26,14 O,3,42.857142857142854
G14CMJVB1NE,CMASS EDGE 14 Black,CMJVB,1,4,3,9,216,263,0.25,0.4509394572025052,0.0,0.0,6,7,AAUTopSeriesSpring26,14 O,2,28.57142857142857
G14CJJVB1NE,CT Juniors 14 National,CJJVB,0,5,0,10,142,250,0.0,0.3622448979591837,0.0,0.0,7,7,AAUTopSeriesSpring26,14 O,1,14.285714285714285
G15NEVBC1NE,Northeast 15.1,NEVBC,6,0,12,1,311,214,0.9230769230769231,0.5923809523809523,0.0,0.0,1,9,AAUTopSeriesSpring26,15 O,9,100.0
G15SJJVB1NE,SMASH 15s,SJJVB,4,3,9,6,335,306,0.6,0.5226209048361935,0.0,0.0,2,9,AAUTopSeriesSpring26,15 O,8,88.88888888888889
G15LDNER1NE,Lockdown VBC 15 Cardinals,LDNER,3,2,6,5,249,248,0.5454545454545454,0.5010060362173038,1.0,1.0,3,9,AAUTopSeriesSpring26,15 O,7,77.77777777777779
G15RRJVB1NE,Boston United 15 National,RRJVB,3,2,7,6,260,270,0.5384615384615384,0.49056603773584906,0.0,0.0,4,9,AAUTopSeriesSpring26,15 O,6,66.66666666666666
G15CJJVB1NE,CT Juniors 15 National,CJJVB,2,3,4,7,211,245,0.36363636363636365,0.46271929824561403,2.0,0.8,5,9,AAUTopSeriesSpring26,15 O,5,55.55555555555556
G15CMJVB1NE,CMASS EDGE 15 Black,CMJVB,2,3,6,7,252,266,0.46153846153846156,0.4864864864864865,0.0,0.3333333333333333,6,9,AAUTopSeriesSpring26,15 O,4,44.44444444444444
G15MCJVB1NE,Mill City 15's,MCJVB,2,3,4,7,226,254,0.36363636363636365,0.4708333333333333,0.0,0.0,7,9,AAUTopSeriesSpring26,15 O,3,33.33333333333333
G15SPAVB1XL,Spa City 15 Aqua,SPAVB,1,4,4,9,243,278,0.3076923076923077,0.46641074856046066,1.0,0.6666666666666666,8,9,AAUTopSeriesSpring26,15 O,2,22.22222222222222
G15LEGIO1XL,TeamLVC 15 Black,LEGIO,1,4,4,8,251,257,0.3333333333333333,0.4940944881889764,0.0,0.3333333333333333,9,9,AAUTopSeriesSpring26,15 O,1,11.11111111111111
G16NEVBC1NE,Northeast 16.1,NEVBC,6,0,12,1,314,209,0.9230769230769231,0.6003824091778203,0.0,0.0,1,10,AAUTopSeriesSpring26,16 O,10,100.0
G16SPAVB1XL,Spa City 16 Aqua,SPAVB,4,1,9,4,273,255,0.6923076923076923,0.5170454545454546,0.0,0.0,2,10,AAUTopSeriesSpring26,16 O,9,90.0
G16SJJVB1NE,SMASH 16s,SJJVB,4,2,9,6,316,303,0.6,0.5105008077544426,0.0,0.0,3,10,AAUTopSeriesSpring26,16 O,8,80.0
G16LEGIO1XL,TeamLVC 16 Black,LEGIO,3,2,7,5,257,218,0.5833333333333334,0.5410526315789473,0.0,0.0,4,10,AAUTopSeriesSpring26,16 O,7,70.0
G16HKJVB1NE,Husky 16 National,HKJVB,2,3,5,7,230,246,0.4166666666666667,0.4831932773109244,2.0,0.8,5,10,AAUTopSeriesSpring26,16 O,6,60.0
G16RRJVB1NE,Boston United 16 National,RRJVB,2,3,4,6,182,225,0.4,0.44717444717444715,1.0,0.5,6,10,AAUTopSeriesSpring26,16 O,5,50.0
G16MCJVB1NE,Mill City 16's,MCJVB,2,3,4,7,217,244,0.36363636363636365,0.47071583514099785,1.0,0.4,7,10,AAUTopSeriesSpring26,16 O,4,40.0
G16LDNER1NE,Lockdown VBC 16 Hawks,LDNER,2,3,7,6,262,241,0.5384615384615384,0.5208747514910537,0.0,0.3333333333333333,8,10,AAUTopSeriesSpring26,16 O,3,30.0
G16CMJVB1NE,CMASS EDGE 16 Black,CMJVB,1,4,3,8,218,253,0.2727272727272727,0.46284501061571126,0.0,0.0,9,10,AAUTopSeriesSpring26,16 O,2,20.0
G16CJJVB1NE,CT Juniors 16 National,CJJVB,0,5,0,10,176,251,0.0,0.41217798594847777,0.0,0.0,10,10,AAUTopSeriesSpring26,16 O,1,10.0
G17LDNER1NE,Lockdown VBC 17 Phoenix,LDNER,5,2,12,5,376,287,0.7058823529411765,0.5671191553544495,0.0,0.0,1,9,AAUTopSeriesSpring26,17 O,9,100.0
G17NEVBC1NE,Northeast 17.1,NEVBC,4,1,8,2,243,192,0.8,0.5586206896551724,0.0,0.0,2,9,AAUTopSeriesSpring26,17 O,8,88.88888888888889
